역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자,제공기관코드,제공기관명,
115,설화명곡,S2701,대구 도시철도 1호선,SeolhwaMyeonggok,舌化椧谷,일반역,,,35.7987183,128.4893178,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 2476,053-643-2674,2018-02-21,B552109,대구도시철도공사,
116,화원,S2701,대구 도시철도 1호선,Hwawon,花園,일반역,,,35.8043566,128.5004042,대구광역시 대구도시철도공사,대구광역시 달성군 화원읍 비슬로 지하2600,053-643-5125,2018-02-21,B552109,대구도시철도공사,
117,대곡,S2701,대구 도시철도 1호선,Daegok,大谷,일반역,,,35.809497,128.510390,대구광역시 대구도시철도공사,대구광역시 달서구 비슬로 지하2718 (대곡동),053-644-7723,2018-02-21,B552109,대구도시철도공사,
118,진천,S2701,대구 도시철도 1호선,Jincheon,辰泉,일반역,,,35.813826,128.520397,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하76 (진천동),053-642-7723,2018-02-21,B552109,대구도시철도공사,
119,월배,S2701,대구 도시철도 1호선,Wolbae,月背,일반역,,,35.816276,128.528392,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하143 (진천동),053-642-7732,2018-02-21,B552109,대구도시철도공사,
120,상인,S2701,대구 도시철도 1호선,Sangin,上仁,일반역,,,35.818966,128.535684,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하223 (상인동),053-642-7745,2018-02-21,B552109,대구도시철도공사,
121,월촌,S2701,대구 도시철도 1호선,Wolchon,月村,일반역,,,35.823688,128.543277,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하311 (송현동),053-626-7710,2018-02-21,B552109,대구도시철도공사,
122,송현,S2701,대구 도시철도 1호선,Songhyeon,松峴,일반역,,,35.831079,128.549562,대구광역시 대구도시철도공사,대구광역시 달서구 월배로 지하412 (송현동),053-626-7730,2018-02-21,B552109,대구도시철도공사,
123,성당못,S2701,대구 도시철도 1호선,Seongdangmot,聖堂못,일반역,,,35.837471,128.555224,대구광역시 대구도시철도공사,대구광역시 남구 월배로 지하501 (대명동),053-651-7736,2018-02-21,B552109,대구도시철도공사,
124,대명,S2701,대구 도시철도 1호선,Daemyeong,大明,일반역,,,35.839302,128.563288,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하71 (대명동),053-627-7746,2018-02-21,B552109,대구도시철도공사,
125,안지랑,S2701,대구 도시철도 1호선,Anjirang,없음,일반역,,,35.839243,128.571705,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하141 (대명동),053-626-7747,2018-02-21,B552109,대구도시철도공사,
126,현충로,S2701,대구 도시철도 1호선,Hyeonchungno,顯忠路,일반역,,,35.840910,128.579194,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,2018-02-21,B552109,대구도시철도공사,
127,영대병원,S2701,대구 도시철도 1호선,Y.N.Univ.Hosp,嶺大病院,일반역,,,35.844269,128.586057,대구광역시 대구도시철도공사,대구광역시 남구 대명로 지하292 (대명동),053-626-7760,2018-02-21,B552109,대구도시철도공사,
128,교대,S2701,대구 도시철도 1호선,Univ. of Educ,敎大,일반역,,,35.851106,128.588432,대구광역시 대구도시철도공사,대구광역시 남구 중앙대로 지하194 (대명동),053-473-7702,2018-02-21,B552109,대구도시철도공사,
129,명덕,S2701,대구 도시철도 1호선,Myeongdeok,明德,환승역,S2701+S2703,대구 도시철도 1호선 + 대구 도시철도 3호선,35.8580257,128.5824361,대구광역시 대구도시철도공사,대구광역시 중구 명덕로 지하185 (남산동),053-255-7723,2018-02-21,B552109,대구도시철도공사,
130,반월당,S2701,대구 도시철도 1호선,Banwoldang,半月堂,환승역,S2701+S2702,대구 도시철도 1호선 + 대구 도시철도 2호선,35.864678,128.591147,대구광역시 대구도시철도공사,대구광역시 중구 달구벌대로 지하2100 (덕산동),053-255-7735,2018-02-21,B552109,대구도시철도공사,
131,중앙로,S2701,대구 도시철도 1호선,Jungangno,中央路,일반역,,,35.870913,128.591799,대구광역시 대구도시철도공사,대구광역시 중구 중앙대로 지하424 (남일동),053-256-7746,2018-02-21,B552109,대구도시철도공사,
132,대구,S2701,대구 도시철도 1호선,Daegu sta.,大邱驛,일반역,,,35.8763691,128.5884861,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로30길 지하24 (칠성동),053-426-7797,2018-02-21,B552109,대구도시철도공사,
133,칠성시장,S2701,대구 도시철도 1호선,Chilseong Market,七星市場,일반역,,,35.876141,128.602970,대구광역시 대구도시철도공사,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,2018-02-21,B552109,대구도시철도공사,
134,신천,S2701,대구 도시철도 1호선,Sincheon,新川,일반역,,,37.511624,127.083391,대구광역시 대구도시철도공사,대구광역시 동구 동부로 지하41 (신천동),053-756-7706,2018-02-21,B552109,대구도시철도공사,
135,동대구,S2701,대구 도시철도 1호선,Dongdaegu sta.,東大邱驛,일반역,,,35.877303,128.627513,대구광역시 대구도시철도공사,대구광역시 동구 동대구로 지하530 (신천동),053-742-7787,2018-02-21,B552109,대구도시철도공사,
